beg,end,approval,disapproval,no opinon
2009-04-13,2009-04-19,62,29,9
2009-04-06,2009-04-12,61,28,11
2009-03-30,2009-04-05,62,28,10
2009-03-23,2009-03-29,61,29,10
2009-03-16,2009-03-22,63,26,10
2009-03-09,2009-03-15,62,28,11
2009-03-02,2009-03-08,62,27,12
2009-02-23,2009-03-01,64,23,13
2009-02-16,2009-02-22,62,25,13
2009-02-09,2009-02-15,64,22,14
2009-02-02,2009-02-08,65,21,15
2009-01-26,2009-02-01,66,18,17
2009-01-21,2009-01-25,67,13,22
