date,title,url
02 Aug 2010,Disabled Veterans Conference Speech on Iraq OPS,speeches/barackobama/barackobamairaqendingcombat.htm
13 Aug 2010,Iftar Dinner Speech on Religious Tolerance,speeches/barackobama/barackobamaiftardinner.htm
31 Aug 2010,National Address on Ending Operation Iraqi Freedom,speeches/barackobama/barackobama911pentagonmemorial.htm
11 Sep 2010,9/11 Pentagon Memorial Speech,speeches/barackobama/barackobamaunitednations65.htm
23 Sep 2010,United Nations 65th Session General Assembly Speech,speeches/barackobama/barackobamamidtermpresser.htm
03 Nov 2010,Midterm Election Press Conference,speeches/barackobama/barackobamamumbaibusinesssummit.htm
06 Nov 2010,U.S.-Indian Business Summit Address,speeches/barackobama/barackobamaindianparliament.htm
08 Nov 2010,Indian Parliament Joint Session Speech,speeches/barackobama/barackobamaindonesiauniversity.htm
10 Nov 2010,Indonesia University Speech,speeches/barackobama/barackobamagiuntamedalofhonor.htm
16 Nov 2010,Medal of Honor Award to Salvatore Giunta Speech,speeches/barackobama/barackobamabagramairfield.htm
03 Dec 2010,Speech to Troops at Bagram Air Field,speeches/barackobama/barackobamawjclintontaxcuts.htm
10 Dec 2010,Presser on Tax Cuts with William Jefferson Clinton,speeches/barackobama/barackobamatucsonmemorial.htm
12 Jan 2011,Tucson Memorial Service Speech,speeches/barackobama/barackobamaegyptpoliticaltransition.htm
25 Jan 2011,Second Presidential State of the Union Speech,speeches/barackobama/barackobama2011prayerbreakfast.htm
01 Feb 2011,On the Political Transition in Egypt,speeches/barackobama/barackobamachamberofcommerce.htm
03 Feb 2011,Speech at the 59th National Prayer Breakfast,speeches/barackobama/barackobamanationalwirelessinitiative.htm
07 Feb 2011,Speech to the US Chamber of Commerce,speeches/barackobama/barackobamaegyptrevolution.htm
10 Feb 2011,National Wireless Initiative Address,speeches/barackobama/barackobamalibya.htm
11 Feb 2011,Address on the Historic Revolution in Egypt,speeches/barackobama/barackobamalibyawarning.htm
23 Feb 2011,Address on the Violence in Libya,speeches/barackobama/barackobamalibyaltdmilitaryaction.htm
18 Mar 2011,Statement on Libya,speeches/barackobama/barackobamariodejaneiro.htm
19 Mar 2011,On Odyssey Dawn Limited Military Action in Libya,speeches/barackobama/barackobamachilespeech.htm
