date,title,url
2011-09-21,United Nations 66th Session General Assembly Speech,./Data/barackobamaunitednations66.txt
2011-10-16,Speech at the MLK Memorial Dedication,./Data/barackobamamlkmemorialdedication.txt
2011-10-20,Speech on the Death of Muammar Qaddafi,./Data/barackobamaqaddafideath.txt
2011-11-16,Speech to the Australian Parliament,./Data/barackobamaaustralianparliament.txt
2011-12-02,Speech to the Tribal Nations Conference,./Data/barackobamatribalnationsconference.txt
2011-12-06,Speech on the Economy at Osawatomie High School,./Data/barackobamaosawatomieeconomy.txt
2011-12-17,Weekly Address Honoring Military Servicemembers,./Data/barackobamaweeklyaddress17dec2011.txt
2012-01-05,Speech on Military Defense Strategic Review,./Data/barackobamamilitarystrategychanges.txt
2012-02-01,Address on Housing at Falls Church,./Data/barackobamahousingfallschurch.txt
2012-02-03,Address on Veterans Jobs Corps,./Data/barackobamaveteransjobscorps.txt
2012-02-29,Iraq War Veterans and Families Gala Toast,./Data/barackobamairaqwarveterangala.txt
2012-03-04,To the American-Israel Public Affairs Committee,./Data/barackobamaaipac2012.txt
2012-03-26,Hankuk University Address,./Data/barackobamahankukuniversity.txt
2012-03-29,Speech on Repealing Oil and Gas Subsidies,./Data/barackobamagasoilsubsidies.txt
2012-04-03,Speech at an Associated Press Luncheon,./Data/barackobamaapluncheon.txt
2012-04-23,U.S. Holocaust Memorial Museum Address,./Data/barackobamanationalholocaustmemorialmuseum.txt
2012-04-28,White House Correspondents Dinner Speech,./Data/barackobamawhitehousecorrespondentsdinner2012.txt
2012-05-14,Barnard College Commencement Speech,./Data/barackobamabarnardcollegecommencement.txt
2012-06-13,Shimon Peres Presidential Medal of Freedom Award,./Data/barackobamashimonperesemedaloffreedom.txt
2012-06-28,On the US Supreme Court Affordable Care Act Ruling,./Data/barackobamausschealthcareruling.txt
2012-07-20,Remarks on the Tragedy in Aurora Colorado,./Data/barackobamaauroratragedy.txt
2012-07-23,Speech to the 113th VFW Convention,./Data/barackobama113vfw.txt
2012-09-12,Rose Garden Address on Benghazi Attacks,./Data/barackobamabenghaziattacks.txt
2012-09-14,Benghazi Victims Transfer of Remains Speech,./Data/barackobamabenghazivictims.txt
2012-09-25,Clinton Global Initiative Speech on Human Trafficking,./Data/barackobamaclintonglobalinitiative2012.txt
2012-09-25,United Nations 67th Session General Assembly Speech,./Data/barackobamaunitednations67.txt
2012-10-29,On Hurricane Sandy After Emergency Team Briefings,./Data/barackobamahurricanesandy29oct.txt
2012-10-30,On Hurricane Sandy at the American Red Cross,./Data/barackobamaredcross.txt
2012-11-06,Second Presidential Election Victory Speech,./Data/barackobamasecondpresidentialvictoryspeech.txt
2012-11-09,Post Election Speech on Deficit Reduction and Jobs,./Data/barackobamapostelectioneconomy.txt
2012-11-14,First Presser Following Presidential Reelection,./Data/barackobamapresserpetraeus.txt
2012-11-19,Yangon University Address,./Data/barackobamayangonuniversity.txt
2012-12-14,On the Sandy Hook Elementary School Shootings,./Data/barackobamanewtownshooting.txt
2012-12-16,"Newtown, Connecticut Interfaith Vigil Speech",./Data/barackobamanewtownvigilspeech.txt
2012-12-19,End Year Press Conference,./Data/barackobamagunviolencepresser.txt
2012-12-21,Eulogy for Senator Daniel Inouye,./Data/barackobamadanielinouyeeulogy.txt
2013-01-14,Final First Term Press Conference,./Data/barackobamafinalfirsttermpresser.txt
2013-01-16,On Signing Executive Actions to Reduce Gun Violence,./Data/barackobamagunviolenceexecacts.txt
2013-01-21,SECOND PRESIDENTIAL INAUGURAL ADDRESS,./Data/barackobamasecondinauguraladdress.txt
2013-01-21,Inaugural Luncheon Toast,./Data/barackobamainauguralluncheontoast.txt
2013-01-29,Comprehensive Immigration Reform Speech,./Data/barackobamaimmagrationreform.txt
2013-02-12,Fourth Presidential State of the Union Speech,./Data/barackobamamiddleclasseconomy.txt
2013-02-15,On Strengthening the Economy for the Middle Class,./Data/barackobamasequesternewportnews.txt
2013-02-26,Newport News Speech on the Impact of the Sequester,./Data/barackobamarosaparksstatue.txt
2013-02-27,Rosa Parks Statue Dedication Speech,./Data/barackobamajerusalemconventioncenter.txt
2013-03-22,Speech in the Children's Memorial at Yad Vashem,./Data/barackobamachildrensmemorialyadvashem.txt
2013-04-02,BRAIN Initiative Announcement,./Data/barackobamabraininitiative.txt
2013-04-03,Gun Violence Reduction Speech in Colorado,./Data/barackobamagunviolencereductiondenver.txt
2013-04-08,Gun Violence Reduction Speech in Connecticut,./Data/barackobamagunviolencereductionconnecticut.txt
2013-04-11,U.S. Army Chaplain Emil Kapaun Medal of Honor Award,./Data/barackobamaemilkapaunmedalofhonor.txt
2013-04-15,First Statement on Boston Marathon Bombings,./Data/barackobamabostonmarathonexplosionsfirststatement.txt
2013-04-16,Second Statement on Boston Marathon Bombings,./Data/barackobamabostonmarathonexplosionssecondstatement.txt
2013-04-17,On Senate Vote Against Background Checks,./Data/barackobamasenateguncontrolbillvote.txt
2013-04-18,Boston Interfaith Prayer Service Speech,./Data/barackobamabostoninterfaithprayerservice.txt
2013-04-19,Third Statement on Boston Marathon Bombings,./Data/barackobamabostonmarathonexplosionsthirdstatement.txt
2013-04-25,George W. Bush Presidential Library Dedication Speech,./Data/barackobamagwbushlibrarydedication.txt
2013-04-25,West Fertilizer Plant Tragedy Memorial Speech,./Data/barackobamawestfertilizerplantmemorial.txt
2013-04-27,White House Correspondents Dinner Speech,./Data/barackobamawhitehousecorrespondentsdinner2013.txt
2013-04-30,Press Q&A on Syria and Sundry Topics,./Data/barackobamasyriaetalpresser.txt
2013-05-03,Speech to the People of Mexico,./Data/barackobamamexicopeople.txt
2013-05-15,Remarks on IG Audit of the IRS,./Data/barackobamairsmisconduct.txt
2013-05-19,Morehouse College Commencement Address,./Data/barackobamamorehousecollegecommencement.txt
2013-05-23,National Defense University Speech on Terrorism,./Data/barackobamanationaldefenseuniversity.txt
2013-05-24,U.S. Naval Academy Commencement Address,./Data/barackobamanavalacademycommencement.txt
2013-06-07,On Affordable Care Act and Domestic Surveillance,./Data/barackobamasanjosesurveillance.txt
2013-06-11,US Senate Call to Comprehensive Immigration Reform,./Data/barackobamaimmigrationreformcomprehensive.txt
2013-06-17,Northern Ireland Speech,./Data/barackobamanorthernireland.txt
2013-06-19,Brandenburg Gate Speech,./Data/barackobamabrandenburggate.txt
2013-06-30,Cape Town University Speech,./Data/barackobamacapetownuniversity.txt
2013-07-19,Speech on Trayvon Martin,./Data/barackobamatrayvonmartin.txt
2013-07-24,Knox College Speech on the Economy,./Data/barackobamaknoxcollegeeconomy.txt
2013-07-27,Korean War Armistice Signing 60th Anniversary Speech,./Data/barackobamakoreanwar60tharmistice.txt
2013-08-09,Intelligence Gathering Reform Press Conference,./Data/barackobamaintelreformpresser.txt
2013-08-28,'Let Freedom Ring' Ceremony Speech,./Data/barackobamaletfreedomringceremony.txt
2013-08-31,On Syrian Government Use of Chemical Weapons,./Data/barackobamasyriachemicalweapons.txt
2013-09-10,Speech to the Nation on Syria,./Data/barackobamasyrianation.txt
2013-09-22,Navy Yard Shooting Memorial Speech,./Data/barackobamanavyyardshootingmemorial.txt
2013-09-24,United Nations 68th Session General Assembly Speech,./Data/barackobamaunitednations68.txt
